step,loss,grad_norm,learning_rate,rewards/answer_accuracy_reward,rewards/answer_format_reward,reward,reward_std,completion_length,kl,epoch,train_runtime,train_samples_per_second,train_steps_per_second,train_loss
87,0.0,0.8406028151512146,1e-06,0.3125,0.8125,1.125,0.5386751294136047,64.5,0.0001678466796875,0.2,,,,
88,0.0001,0.901069164276123,1e-06,0.0625,0.8125,0.875,0.34846171736717224,56.6875,0.0015869140625,0.21,,,,
89,0.0,0.397492378950119,1e-06,0.0,0.8125,0.8125,0.26933756470680237,105.75,0.0001266002655029297,0.21,,,,
90,0.0,0.5419706106185913,1e-06,0.0625,0.5625,0.625,0.4541241526603699,127.25,0.0007753372192382812,0.21,,,,
91,0.0,1.0722225904464722,1e-06,0.0625,0.75,0.8125,0.5193375647068024,53.8125,0.0010967254638671875,0.21,,,,
92,0.0,0.6208387613296509,1e-06,0.5625,0.875,1.4375,0.41367512941360474,45.1875,0.00039958953857421875,0.21,,,,
93,0.0002,1.6814007759094238,1e-06,0.125,0.5625,0.6875,0.6775858700275421,115.0,0.005545616149902344,0.22,,,,
94,0.0003,1.166914701461792,1e-06,0.125,0.875,1.0,0.36435678601264954,31.125,0.007007598876953125,0.22,,,,
95,0.0001,0.6768714189529419,1e-06,0.5,0.6875,1.1875,0.41367512941360474,55.1875,0.00125885009765625,0.22,,,,
96,0.0001,1.4687310457229614,1e-06,0.0625,0.5625,0.625,0.34846171736717224,31.625,0.002048492431640625,0.22,,,,
97,0.0001,0.3912719488143921,1e-06,0.25,0.9375,1.1875,0.375,31.5,0.0019626617431640625,0.23,,,,
98,0.0,0.2262192666530609,1e-06,0.0625,0.5625,0.625,0.39433756470680237,96.6875,0.00038814544677734375,0.23,,,,
99,-0.0,0.40285390615463257,1e-06,0.5,1.0,1.5,0.25,24.625,-8.416175842285156e-05,0.23,,,,
100,0.0,0.9019768834114075,1e-06,0.1875,0.8125,1.0,0.5086943507194519,137.0625,0.0007991790771484375,0.23,,,,
101,0.0004,2.357964038848877,1e-06,0.1875,0.625,0.8125,0.7480511367321014,18.125,0.010101318359375,0.24,,,,
102,0.0,1.1440435647964478,1e-06,0.125,0.8125,0.9375,0.5791241526603699,22.4375,0.00038433074951171875,0.24,,,,
103,0.0,0.36683350801467896,1e-06,0.375,0.875,1.25,0.5086943507194519,100.625,0.0011854171752929688,0.24,,,,
104,0.0004,1.8523637056350708,1e-06,0.0625,0.5625,0.625,0.6443375647068024,39.25,0.010040283203125,0.24,,,,
105,0.0001,1.1525083780288696,1e-06,0.0625,0.6875,0.75,0.25,28.5625,0.0013256072998046875,0.25,,,,
106,0.0001,1.3455452919006348,1e-06,0.0625,0.8125,0.875,0.4541241526603699,31.5625,0.0035004615783691406,0.25,,,,
107,0.0002,1.1513664722442627,1e-06,0.125,0.75,0.875,0.25,84.0625,0.0040073394775390625,0.25,,,,
108,0.0001,0.7703929543495178,1e-06,0.1875,0.6875,0.875,0.5984617173671722,67.375,0.003185272216796875,0.25,,,,
109,0.0001,0.40249305963516235,1e-06,0.25,0.625,0.875,0.6230511367321014,104.875,0.001667022705078125,0.25,,,,
110,0.0,1.104093074798584,1e-06,0.3125,0.8125,1.125,0.6443375647068024,65.6875,0.0010852813720703125,0.26,,,,
111,0.0001,0.49394190311431885,1e-06,0.375,0.875,1.25,0.7128185033798218,26.8125,0.002109527587890625,0.26,,,,
112,0.0,0.09492255747318268,1e-06,0.1875,0.9375,1.125,0.14433756470680237,75.9375,0.0009450912475585938,0.26,,,,
113,0.0004,1.7068793773651123,1e-06,0.25,0.6875,0.9375,0.6336943507194519,76.3125,0.009368896484375,0.26,,,,
114,0.0002,0.284216970205307,1e-06,0.4375,0.9375,1.375,0.25,79.25,0.00406646728515625,0.27,,,,
115,0.0001,0.8619516491889954,1e-06,0.3125,0.875,1.1875,0.48935678601264954,20.375,0.003605365753173828,0.27,,,,
116,0.0011,1.0315269231796265,1e-06,0.0,0.5,0.5,0.5386751294136047,169.0625,0.0283203125,0.27,,,,
117,0.0002,0.6656718850135803,1e-06,0.375,0.8125,1.1875,0.26933756470680237,22.8125,0.005901336669921875,0.27,,,,
118,0.0002,1.1186392307281494,1e-06,0.375,0.375,0.75,0.28867512941360474,17.0625,0.006108760833740234,0.28,,,,
119,0.0001,0.4588763117790222,1e-06,0.375,0.9375,1.3125,0.47346171736717224,76.5,0.0021448135375976562,0.28,,,,
120,0.0001,0.8415269255638123,1e-06,0.1875,0.875,1.0625,0.5193375647068024,23.1875,0.002948760986328125,0.28,,,,
121,0.0,0.18180634081363678,1e-06,0.375,0.9375,1.3125,0.3291241526603699,38.1875,0.00074005126953125,0.28,,,,
122,0.0003,1.0764061212539673,1e-06,0.0,0.8125,0.8125,0.26933756470680237,83.25,0.0062351226806640625,0.29,,,,
123,0.0001,0.11470259726047516,1e-06,0.0625,0.875,0.9375,0.125,53.5,0.001583099365234375,0.29,,,,
124,0.0,0.6848168969154358,1e-06,0.3125,0.75,1.0625,0.5193375647068024,66.8125,0.001201629638671875,0.29,,,,
125,0.0003,1.8716884851455688,1e-06,0.3125,0.6875,1.0,0.5386751294136047,33.3125,0.0064945220947265625,0.29,,,,
126,0.0001,0.1353774219751358,1e-06,0.0,0.4375,0.4375,0.125,44.3125,0.00356292724609375,0.29,,,,
127,0.0005,0.8605977892875671,1e-06,0.4375,0.875,1.3125,0.47346171736717224,17.25,0.012186050415039062,0.3,,,,
128,0.0003,1.6939172744750977,1e-06,0.0,0.4375,0.4375,0.375,79.625,0.007568359375,0.3,,,,
129,0.0,0.25002196431159973,1e-06,0.0,0.625,0.625,0.25,88.375,0.00038433074951171875,0.3,,,,
130,0.0002,1.139189600944519,1e-06,0.3125,0.6875,1.0,0.6143567860126495,60.875,0.0039272308349609375,0.3,,,,
131,0.0001,0.542662501335144,1e-06,0.4375,0.9375,1.375,0.25,47.75,0.00165557861328125,0.31,,,,
132,0.0006,0.9828094840049744,1e-06,0.3125,0.8125,1.125,0.5984617173671722,55.0625,0.015760421752929688,0.31,,,,
133,0.0005,1.1842974424362183,1e-06,0.1875,0.8125,1.0,0.4541241526603699,23.875,0.013763427734375,0.31,,,,
134,0.0001,0.8038265705108643,1e-06,0.25,0.75,1.0,0.6582483053207397,88.0,0.0029296875,0.31,,,,
135,0.0002,0.14827074110507965,1e-06,0.1875,0.4375,0.625,0.25,91.4375,0.005672454833984375,0.32,,,,
136,0.0003,0.8353039622306824,1e-06,0.3125,0.6875,1.0,0.6582483053207397,28.1875,0.0063991546630859375,0.32,,,,
137,0.0001,0.4202020764350891,1e-06,0.25,0.8125,1.0625,0.26933756470680237,50.0,0.002872467041015625,0.32,,,,
138,0.0021,0.676336407661438,1e-06,0.125,0.6875,0.8125,0.375,22.875,0.0514984130859375,0.32,,,,
139,0.0005,1.7249188423156738,1e-06,0.5,0.875,1.375,0.5386751294136047,120.125,0.013051986694335938,0.32,,,,
140,0.0004,0.7502681612968445,1e-06,0.0625,0.6875,0.75,0.36435678601264954,45.0,0.010498046875,0.33,,,,
141,0.0003,0.5497843623161316,1e-06,0.125,0.375,0.5,0.25,23.4375,0.008267402648925781,0.33,,,,
142,0.0,0.6282729506492615,1e-06,0.1875,0.6875,0.875,0.6143567860126495,153.625,0.0005407333374023438,0.33,,,,
143,0.0002,0.49051356315612793,1e-06,0.25,0.5625,0.8125,0.7780319154262543,103.3125,0.004405975341796875,0.33,,,,
144,0.0001,0.6648362874984741,1e-06,0.375,0.75,1.125,0.39433756470680237,73.5,0.0019683837890625,0.34,,,,
145,0.0,0.42970147728919983,1e-06,0.25,0.75,1.0,0.39433756470680237,23.1875,4.0531158447265625e-05,0.34,,,,
146,0.0004,1.0543522834777832,1e-06,0.125,0.6875,0.8125,0.3836943507194519,24.75,0.010528564453125,0.34,,,,
147,0.0006,0.6603896617889404,1e-06,0.25,0.8125,1.0625,0.26933756470680237,30.125,0.01483917236328125,0.34,,,,
148,0.0012,2.3671975135803223,1e-06,0.0625,0.5,0.5625,0.375,21.5,0.03134918212890625,0.35,,,,
149,0.0007,1.4666364192962646,1e-06,0.1875,0.5,0.6875,0.48935678601264954,19.5,0.016998291015625,0.35,,,,
150,0.0001,0.5421901345252991,1e-06,0.3125,0.75,1.0625,0.6336943507194519,41.25,0.0013704299926757812,0.35,,,,
151,0.0014,0.9336577653884888,1e-06,0.125,0.6875,0.8125,0.5580126941204071,59.0625,0.0347900390625,0.35,,,,
152,0.0,0.34685179591178894,1e-06,0.5625,0.9375,1.5,0.5,51.9375,0.00028324127197265625,0.36,,,,
153,0.0053,2.835691213607788,1e-06,0.1875,0.5625,0.75,0.6830126941204071,23.0625,0.133056640625,0.36,,,,
154,0.0,0.290043443441391,1e-06,0.3125,0.875,1.1875,0.3291241526603699,41.625,0.0009899139404296875,0.36,,,,
155,0.0004,1.5361073017120361,1e-06,0.1875,0.6875,0.875,0.36435678601264954,32.875,0.010040283203125,0.36,,,,
156,0.0006,1.3029017448425293,1e-06,0.125,0.6875,0.8125,0.6636751294136047,78.9375,0.015726089477539062,0.36,,,,
157,0.0,0.29622572660446167,1e-06,0.375,1.0,1.375,0.39433756470680237,40.3125,0.0008220672607421875,0.37,,,,
158,0.0008,0.8319237232208252,1e-06,0.3125,0.8125,1.125,0.5386751294136047,16.625,0.01910400390625,0.37,,,,
159,0.0007,0.5592278242111206,1e-06,0.0,0.9375,0.9375,0.125,37.6875,0.0166778564453125,0.37,,,,
160,0.0002,0.5313745737075806,1e-06,0.3125,0.9375,1.25,0.25,51.5625,0.0043888092041015625,0.37,,,,
161,0.0003,0.7898264527320862,1e-06,0.25,0.8125,1.0625,0.375,25.125,0.007015228271484375,0.38,,,,
162,0.0007,0.8623564839363098,1e-06,0.125,0.875,1.0,0.36435678601264954,12.0,0.01648712158203125,0.38,,,,
163,0.001,0.9158523678779602,1e-06,0.25,0.625,0.875,0.7128185033798218,46.625,0.024147987365722656,0.38,,,,
164,0.0005,0.6484197378158569,1e-06,0.25,0.875,1.125,0.39433756470680237,20.5625,0.013807296752929688,0.38,,,,
165,0.0031,1.0151609182357788,1e-06,0.0625,0.875,0.9375,0.375,11.0625,0.077178955078125,0.39,,,,
166,0.0004,0.34835824370384216,1e-06,0.25,0.875,1.125,0.39433756470680237,26.0,0.008762359619140625,0.39,,,,
167,0.0001,0.46683016419410706,1e-06,0.375,0.8125,1.1875,0.48935678601264954,116.25,0.0012989044189453125,0.39,,,,
